;Var1;Freq
1;;0
2;654NN1;1
3;654NNN;1
4;65NN2N;2
5;65NNN1;3
6;65NNNN;35
7;6N4321;1
8;6N43NN;3
9;6N4N21;5
10;6N4N2N;6
11;6N4NN1;5
12;6N4NNN;18
13;6NN32N;1
14;6NN3NN;1
15;6NNN21;10
16;6NNN2N;55
17;6NNNN1;161
18;6NNNNN;573
19;N54N2N;1
20;N54NN1;3
21;N54NNN;1
22;N5NN21;2
23;N5NN2N;11
24;N5NNN1;50
25;N5NNNN;305
26;NN4321;1
27;NN432N;2
28;NN43N1;2
29;NN43NN;10
30;NN4N21;2
31;NN4N2N;20
32;NN4NN1;36
33;NN4NNN;70
34;NNN32N;7
35;NNN3N1;7
36;NNN3NN;57
37;NNNN21;65
38;NNNN2N;353
39;NNNNN1;4130
40;NNNNNN;4125
41;NA;16
